timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605374417,57,63,73,68
1605374418,57,62,73,67
1605374419,58,62,73,67
1605374420,58,62,73,67
1605374421,58,61,73,67
1605374422,57,61,73,67
1605374423,57,61,73,67
1605374424,57,60,73,67
1605374425,56,60,73,67
1605374426,55,61,72,67
1605374427,55,61,72,67
1605374428,54,61,72,67
1605374429,54,62,71,66
1605374430,54,62,71,66
1605374431,54,63,70,65
1605374432,54,63,70,65
1605374433,54,63,69,65
1605374434,54,63,69,65
1605374435,54,64,69,65
1605374436,54,64,69,65
1605374437,54,63,68,65
1605374438,54,63,68,65
1605374439,54,63,68,66
1605374440,54,62,68,66
1605374441,55,62,68,67
1605374442,55,62,68,67
1605374443,55,62,68,68
1605374444,55,62,67,68
1605374445,55,63,67,68
1605374446,55,63,67,69
1605374455,52,63,67,70
1605374456,51,63,67,70
1605374457,51,63,66,70
1605374458,51,63,66,71
1605374459,51,63,66,71
1605374460,51,63,66,71
1605374461,51,62,66,71
1605374462,51,62,66,71
1605374463,51,62,66,71
1605374464,51,61,66,71
1605374465,52,61,66,70
1605374466,52,61,66,70
1605374467,52,61,66,70
1605374468,52,61,67,69
1605374469,52,61,67,69
1605374470,52,61,67,69
1605374471,53,61,67,69
1605374472,53,62,68,69
1605374473,53,63,69,69
1605374474,53,63,70,69
1605374475,53,63,70,69
1605374476,53,63,70,69
1605374477,53,64,70,68
1605374478,53,64,71,68
1605374479,53,64,71,68
1605374480,53,64,71,68
1605374481,53,64,71,68
1605374482,53,64,71,68
1605374483,53,64,71,67
1605374484,53,64,71,67
1605374485,53,64,71,67
1605374486,53,64,71,67
1605374487,53,64,71,67
1605374488,53,64,71,67
1605374489,53,64,71,68
1605374490,53,64,70,68
1605374491,53,65,70,69
1605374492,52,65,70,69
1605374493,52,65,70,69
1605374494,52,65,70,69
1605374495,52,65,70,69
1605374496,51,65,69,69
1605374497,51,65,69,69
1605374498,51,64,69,70
1605374499,52,65,69,70
1605374500,52,65,69,70
1605374501,52,64,69,70
1605374502,52,64,69,69
1605374503,52,64,69,69
1605374504,53,64,69,69
1605374505,53,64,69,69
1605374506,54,64,69,69
1605374507,54,64,69,69
1605374508,55,64,69,69
1605374509,55,64,69,70
1605374510,55,64,69,70
1605374511,55,64,70,70
1605374512,56,64,70,71
1605374513,56,64,70,71
1605374514,56,64,70,71
1605374515,56,65,70,72
1605374516,56,65,70,72
1605374517,56,65,71,72
1605374518,56,66,71,72
1605374519,56,66,72,72
1605374520,57,66,72,72
1605374521,57,66,72,72
1605374522,57,66,72,72
1605374523,57,66,72,73
1605374524,57,66,72,73
1605374525,57,66,72,73
1605374526,57,66,72,73
1605374527,57,65,72,72
1605374528,56,65,72,72
1605374529,56,65,71,72
1605374530,55,69,70,71
1605374531,54,69,70,70
1605374532,54,70,70,70
1605374533,53,70,70,70
1605374534,53,70,70,69
1605374535,53,70,71,68
1605374536,52,69,71,68
1605374537,52,69,72,68
1605374538,52,69,72,68
1605374539,52,69,74,68
1605374540,52,69,74,68
1605374541,52,69,75,68
1605374542,52,69,75,68
1605374543,52,69,75,68
1605374544,52,69,75,67
1605374545,52,69,75,67
1605374546,52,69,74,67
1605374547,52,69,74,67
1605374548,52,69,73,68
1605374549,53,68,73,68
1605374550,53,68,73,68
1605374551,53,67,73,68
1605374552,53,66,73,68
1605374553,53,66,72,69
1605374554,54,65,72,69
1605374555,54,65,73,69
1605374556,53,65,73,69
1605374557,54,64,73,69
1605374558,54,64,73,68
1605374559,54,65,73,67
1605374560,54,65,72,67
1605374561,54,66,72,66
1605374562,54,66,72,66
1605374563,54,66,72,66
1605374564,54,67,71,65
1605374565,54,68,71,66
1605374566,55,68,71,66
1605374567,55,69,71,66
1605374568,55,69,71,66
1605374569,55,69,70,67
1605374570,55,70,70,67
1605374571,55,70,70,68
1605374572,55,70,70,69
1605374573,55,70,69,69
1605374574,55,70,69,69
1605374575,55,70,69,69
1605374576,55,70,68,69
1605374577,54,70,68,69
1605374578,53,69,68,69
1605374579,53,68,68,69
1605374580,53,68,68,69
1605374581,52,67,67,68
1605374582,52,66,67,68
1605374583,52,66,67,68
1605374584,52,66,67,68
1605374585,52,65,67,69
1605374586,53,65,67,69
1605374587,54,66,67,69
1605374588,54,66,67,70
1605374589,55,66,67,70
1605374590,55,67,68,70
1605374591,56,67,69,70
1605374592,56,67,69,70
1605374593,56,67,70,70
1605374594,56,67,71,70
1605374595,56,67,71,70
1605374596,56,66,72,70
1605374597,55,66,72,70
1605374598,54,65,72,70
1605374599,54,64,72,70
1605374600,53,63,71,69
1605374601,53,63,71,69
1605374602,52,63,71,69
1605374603,52,63,71,69
1605374604,52,63,71,69
1605374605,52,63,71,68
1605374606,51,63,70,68
1605374607,51,63,70,68
1605374608,51,62,70,68
1605374609,51,62,70,67
1605374610,51,63,69,68
1605374611,52,63,69,68
1605374612,52,63,69,67
1605374613,52,63,69,67
1605374614,53,63,68,67
1605374615,53,64,68,67
1605374616,54,64,68,67
1605374617,54,64,68,67
1605374618,55,65,68,68
1605374619,55,66,69,68
1605374620,56,66,69,68
1605374621,56,66,70,69
1605374622,56,67,71,69
1605374623,56,68,72,70
1605374624,56,68,72,70
1605374625,56,68,73,71
1605374626,56,68,73,71
1605374627,56,68,74,72
1605374628,56,68,75,72
1605374629,56,69,75,72
1605374630,56,69,75,72
1605374631,56,68,75,72
1605374632,56,68,75,72
1605374633,56,68,75,72
1605374634,56,68,74,72
1605374635,55,67,73,72
1605374636,55,67,73,72
1605374637,55,66,72,72
1605374638,55,66,71,72
1605374639,55,65,70,73
1605374640,55,65,69,73
1605374641,55,65,69,73
1605374642,55,65,67,73
1605374643,55,65,67,73
1605374644,55,66,67,72
1605374645,55,67,67,72
1605374654,54,67,68,72
1605374655,53,68,68,72
1605374656,53,69,69,72
1605374657,53,69,70,72
1605374658,52,69,71,72
1605374659,52,69,71,72
1605374660,52,69,73,72
1605374661,52,69,73,72
1605374662,52,69,73,72
1605374663,52,69,74,72
1605374664,52,69,74,72
1605374665,52,68,73,72
1605374666,52,68,73,71
1605374667,52,67,73,71
1605374668,53,67,73,71
1605374669,53,66,72,70
1605374670,54,66,72,70
1605374671,54,66,72,70
1605374672,54,66,72,70
1605374673,55,66,72,70
1605374674,55,66,72,70
1605374675,55,66,72,70
1605374676,55,66,72,70
1605374677,56,67,72,70
1605374678,56,67,72,70
1605374679,56,67,72,70
1605374680,56,68,72,70
1605374681,56,68,71,70
1605374682,56,67,71,70
1605374683,56,67,71,70
1605374684,57,67,71,70
1605374685,57,67,71,70
1605374686,57,67,71,70
1605374687,57,67,71,69
1605374688,57,66,71,69
1605374689,57,66,71,68
1605374690,57,66,71,68
1605374691,57,66,71,68
1605374692,57,66,72,67
1605374693,57,65,71,67
1605374694,57,65,71,67
1605374695,57,65,70,67
1605374696,56,65,70,67
1605374697,56,64,70,67
1605374698,56,64,69,67
1605374699,56,63,70,67
1605374700,56,63,70,67
1605374701,56,63,70,66
1605374702,56,63,70,66
1605374703,55,63,70,66
1605374704,54,64,71,66
1605374705,54,64,71,66
